feature,importance
alignment_angle_mean_50,0.36645213
alignment_angle_mean_10,0.28159323
alignment_angle_mean_20,0.1022688
alignment_angle,0.02810376
head_speed_std_50,0.023465393
tail_speed_mean_50,0.015891246
tail_speed,0.014546977
head_speed,0.012583806
head_speed_mean_50,0.010810618
head_mid_distance,0.010514298
tail_speed_std_50,0.010271523
head_tail_distance,0.010114252
speed_ratio,0.009881953
tail_mid_distance,0.00917869
head_motion_angle,0.008265545
head_speed_mean_20,0.008233394
cumulative_head_distance,0.0068514235
alignment_angle_std_50,0.0067741587
body_orientation_angle,0.0065633655
cumulative_tail_distance,0.006328044
position_in_trial,0.0061902953
tail_speed_std_20,0.006179321
tail_speed_mean_20,0.005605142
tail_speed_mean_10,0.0051814998
head_speed_mean_10,0.004850222
cross_sign,0.003915294
alignment_angle_std_20,0.0032862306
tail_acceleration,0.0031824184
tail_motion_angle,0.0029353902
relative_velocity_magnitude,0.0027054544
head_speed_std_20,0.002397022
head_angular_velocity,0.0019476347
head_acceleration,0.0011161028
relative_acceleration,0.000860011
tail_angular_velocity,0.0007100085
head_tail_curvature_ratio,0.00024539014
