experiment,start_frame,duration,scenario,body_angle,head_tail_distance,speed,curvature,border_distance,is_corrected_level1
2024.10.10_14-12-45_Biarmipes84_1hexanol,88,1426,close_proximity,2.887597378012908,15.24477227305518,15.339856878385753,0.5507120871745365,438.4046283309958,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,88,1426,body_shape_change,2.887597378012908,15.24477227305518,15.339856878385753,0.5507120871745365,438.4046283309958,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,88,1426,near_overlap,2.887597378012908,15.24477227305518,15.339856878385753,0.5507120871745365,438.4046283309958,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1515,1,close_proximity,1.5707963267948966,5.656854249492381,0.0,0.351929963849977,476.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1515,1,near_overlap,1.5707963267948966,5.656854249492381,0.0,0.351929963849977,476.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1521,167,close_proximity,2.8484417448352715,14.695347924391632,19.070176268733626,0.6388411543255615,469.21556886227546,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1521,167,body_shape_change,2.8484417448352715,14.695347924391632,19.070176268733626,0.6388411543255615,469.21556886227546,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1521,167,near_overlap,2.8484417448352715,14.695347924391632,19.070176268733626,0.6388411543255615,469.21556886227546,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1712,24,close_proximity,2.591324485570981,13.063967664587997,20.228161363744842,0.6687721512605276,464.7083333333333,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1712,24,body_shape_change,2.591324485570981,13.063967664587997,20.228161363744842,0.6687721512605276,464.7083333333333,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1712,24,near_overlap,2.591324485570981,13.063967664587997,20.228161363744842,0.6687721512605276,464.7083333333333,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1737,38,close_proximity,2.9165381830388055,10.650117002150598,20.906270209752904,0.785695131547649,466.39473684210526,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1737,38,body_shape_change,2.9165381830388055,10.650117002150598,20.906270209752904,0.785695131547649,466.39473684210526,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1737,38,near_overlap,2.9165381830388055,10.650117002150598,20.906270209752904,0.785695131547649,466.39473684210526,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1776,1,close_proximity,2.4149503129080676,7.211102550927978,33.54101966249684,0.8025521954587526,470.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1776,1,near_overlap,2.4149503129080676,7.211102550927978,33.54101966249684,0.8025521954587526,470.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1781,57,close_proximity,2.635116896830127,12.829382302883799,22.876263386544608,0.6363974001553131,465.29824561403507,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1781,57,body_shape_change,2.635116896830127,12.829382302883799,22.876263386544608,0.6363974001553131,465.29824561403507,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1781,57,near_overlap,2.635116896830127,12.829382302883799,22.876263386544608,0.6363974001553131,465.29824561403507,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1839,2,close_proximity,2.2212699122231103,10.689189457342259,23.717082451262844,0.5321689785009042,465.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1839,2,near_overlap,2.2212699122231103,10.689189457342259,23.717082451262844,0.5321689785009042,465.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1842,56,close_proximity,2.6517808787329473,11.518732154983342,19.82943268518185,0.6421536932490441,465.6607142857143,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1842,56,body_shape_change,2.6517808787329473,11.518732154983342,19.82943268518185,0.6421536932490441,465.6607142857143,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1842,56,near_overlap,2.6517808787329473,11.518732154983342,19.82943268518185,0.6421536932490441,465.6607142857143,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1903,28,close_proximity,2.3978988474856693,12.53712937605192,20.269925430531067,0.6155258936072802,464.5,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1903,28,body_shape_change,2.3978988474856693,12.53712937605192,20.269925430531067,0.6155258936072802,464.5,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,1903,28,near_overlap,2.3978988474856693,12.53712937605192,20.269925430531067,0.6155258936072802,464.5,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,2134,20,close_proximity,2.2505500565534584,16.102716040558555,18.61434893224557,0.4835351801722914,462.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,2134,20,body_shape_change,2.2505500565534584,16.102716040558555,18.61434893224557,0.4835351801722914,462.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,2134,20,near_overlap,2.2505500565534584,16.102716040558555,18.61434893224557,0.4835351801722914,462.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,5554,2010,close_proximity,2.8679717623665284,15.04286148076501,17.3306025530792,0.5772230970999187,360.4691542288557,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,5554,2010,body_shape_change,2.8679717623665284,15.04286148076501,17.3306025530792,0.5772230970999187,360.4691542288557,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,8923,11,close_proximity,2.4420757341138297,14.380858041300572,12.594638151136076,0.5928966323972588,423.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,8923,11,body_shape_change,2.4420757341138297,14.380858041300572,12.594638151136076,0.5928966323972588,423.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,8923,11,near_overlap,2.4420757341138297,14.380858041300572,12.594638151136076,0.5928966323972588,423.0,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,8979,17,close_proximity,2.077577652206925,12.538123733435416,19.160097037163702,0.6751850062215007,423.7647058823529,True
2024.10.10_14-12-45_Biarmipes84_1hexanol,8979,17,body_shape_change,2.077577652206925,12.538123733435416,19.160097037163702,0.6751850062215007,423.7647058823529,True
