feature,importance
alignment_angle_mean_50,0.4237799
alignment_angle_mean_20,0.07924126
head_speed_mean_20,0.06023997
tail_speed_mean_20,0.050712105
head_speed_mean_50,0.039182868
head_speed_std_50,0.038490612
alignment_angle,0.034641866
alignment_angle_mean_10,0.029587796
tail_speed_std_50,0.025569422
speed_ratio,0.024837637
tail_speed,0.0117238425
cross_sign,0.010987173
head_speed_std_20,0.01059131
tail_speed_mean_50,0.010463802
head_speed_mean_10,0.00975315
position_in_trial,0.009504148
cumulative_tail_distance,0.009432103
head_tail_distance,0.009379763
tail_speed_mean_10,0.008385802
body_orientation_angle,0.0070888977
head_mid_distance,0.0069493446
cumulative_head_distance,0.0069074496
tail_velocity_x,0.006231759
alignment_angle_std_20,0.0061864294
alignment_angle_std_50,0.006055185
tail_mid_distance,0.0051541138
alignment_angle_mean_5,0.005143889
tail_speed_mean_5,0.004994159
tail_speed_std_20,0.0045570545
relative_velocity_magnitude,0.004311181
tail_motion_angle,0.003931793
alignment_angle_std_10,0.0036883645
head_velocity_y,0.0035923517
head_speed_std_5,0.0034103417
alignment_angle_std_5,0.003290671
head_speed_mean_5,0.003220958
head_motion_angle,0.0026282829
head_speed,0.002538941
head_speed_std_10,0.0023801967
tail_angular_velocity,0.0022303609
head_path_curvature,0.0020826273
head_angular_velocity,0.0016825787
head_velocity_x,0.0014829809
tail_velocity_y,0.0013540175
tail_speed_std_5,0.001306805
tail_speed_std_10,0.0010946625
