threshold,precision,recall,f1,sensitivity,specificity,pct_swaps_resolved,pct_frames_clean_pre,pct_frames_clean_post,tp,fp,fn,tn,n_frames,n_swapped_gt,n_swapped_pred
0.01,0.7030928140606707,0.999768201454009,0.825586858544904,0.999768201454009,0.6690891072755801,99.97682014540091,56.06018518518518,81.4388888888889,47444,20035,11,40510,108000,47455,67479
0.0198989898989899,0.7611276916658644,0.9995785480981982,0.8642065277790429,0.9995785480981982,0.7541167726484433,99.95785480981982,56.06018518518518,86.19722222222222,47435,14887,20,45658,108000,47455,62322
0.029797979797979796,0.7918594358057889,0.9990728058160362,0.8834786821705426,0.9990728058160362,0.7941696258980924,99.90728058160362,56.06018518518518,88.42037037037038,47411,12462,44,48083,108000,47455,59873
0.039696969696969696,0.8116433662280702,0.9982931197977031,0.8953441123385275,0.9982931197977031,0.8184160541745809,99.82931197977031,56.06018518518518,89.74537037037037,47374,10994,81,49551,108000,47455,58368
0.049595959595959596,0.8264664804469274,0.9975766515646401,0.9039957989210865,0.9975766515646401,0.8358245932777273,99.75766515646401,56.06018518518518,90.68981481481482,47340,9940,115,50605,108000,47455,57280
0.059494949494949496,0.8381764059676104,0.9968391107364872,0.9106484556226118,0.9968391107364872,0.8491535221735899,99.68391107364873,56.06018518518518,91.40462962962962,47305,9133,150,51412,108000,47455,56438
0.06939393939393938,0.8477208334827673,0.9961858602886946,0.915976400151132,0.9961858602886946,0.8597406887439095,99.61858602886946,56.06018518518518,91.96944444444445,47274,8492,181,52053,108000,47455,55766
0.07929292929292929,0.8561592955628431,0.9957644083868928,0.9206998675083782,0.9957644083868928,0.868874390948881,99.57644083868928,56.06018518518518,92.46296296296296,47254,7939,201,52606,108000,47455,55193
0.08919191919191918,0.8629045521828914,0.9950268675587398,0.9242679298465393,0.9950268675587398,0.8760921628540754,99.50268675587398,56.06018518518518,92.83518518518518,47219,7502,236,53043,108000,47455,54721
0.09909090909090908,0.8699644167480964,0.9943314719207671,0.9279996853305013,0.9943314719207671,0.8835081344454538,99.4331471920767,56.06018518518518,93.22037037037038,47186,7053,269,53492,108000,47455,54239
