feature,importance
alignment_angle_mean_50,0.3180126
alignment_angle_mean_10,0.19841285
alignment_angle_mean_20,0.06667669
head_speed_mean_20,0.06357899
head_speed_std_50,0.042126242
tail_speed_std_50,0.039633147
tail_speed_mean_20,0.038266253
alignment_angle,0.0365872
head_speed_mean_50,0.024044314
speed_ratio,0.019333852
tail_speed_mean_50,0.018280633
tail_speed_std_20,0.017700158
position_in_trial,0.0144151645
alignment_angle_std_50,0.010606472
cumulative_tail_distance,0.00988612
tail_speed,0.00855061
head_tail_distance,0.008171837
tail_mid_distance,0.0074409433
head_mid_distance,0.0072685196
cumulative_head_distance,0.0063667954
head_tail_curvature_ratio,0.00551403
head_speed_mean_10,0.005057819
body_orientation_angle,0.0040722415
tail_speed_mean_10,0.004062506
head_speed_std_20,0.003940221
cross_sign,0.0036532816
alignment_angle_std_20,0.003350913
relative_velocity_magnitude,0.0029750757
tail_acceleration,0.0023341866
head_motion_angle,0.0020830925
tail_motion_angle,0.0016743471
head_angular_velocity,0.0015454044
head_acceleration,0.0015366565
head_speed,0.0011590177
relative_acceleration,0.00086055306
tail_angular_velocity,0.00082133315
