feature,importance
alignment_angle_mean_50,0.3843033
alignment_angle_mean_20,0.087089926
head_speed_mean_20,0.08045035
tail_speed_std_50,0.059363652
tail_speed_mean_20,0.0561647
head_speed_std_50,0.046360265
head_speed_mean_50,0.03412295
head_speed_std_20,0.031854846
alignment_angle,0.021344988
speed_ratio,0.021160057
head_tail_distance,0.018184798
collapsed_keypoints,0.013430325
tail_speed_mean_50,0.012008704
cumulative_tail_distance,0.009571402
tail_mid_distance,0.009548358
cumulative_head_distance,0.009377602
alignment_angle_std_50,0.00929639
head_mid_distance,0.007880063
position_in_trial,0.00673163
alignment_angle_std_20,0.006712864
body_orientation_angle,0.0066322084
head_speed_mean_10,0.0061688735
tail_speed_mean_5,0.0056898943
tail_speed_std_20,0.0053720493
relative_velocity_magnitude,0.005219914
tail_speed_mean_10,0.005169943
head_speed_mean_5,0.0046618823
alignment_angle_mean_5,0.004622198
head_tail_curvature_ratio,0.004135855
cross_sign,0.004070267
tail_speed,0.0038479501
head_speed,0.0032964025
alignment_angle_mean_10,0.0029992403
head_angular_velocity,0.0028128845
head_motion_angle,0.0024644008
tail_path_curvature,0.0022281553
tail_motion_angle,0.0021057485
tail_angular_velocity,0.0018194362
head_path_curvature,0.0017255237
