train_size_fraction,train_size,val_size,test_size,train_f1,val_f1,test_f1,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_pct_clean_post,val_pct_clean_post,test_pct_clean_post
0.1,63000,135000,135000,0.9756392919853876,0.9306746846332717,0.8757026608756427,0.9798119020593481,0.9217479331871098,0.8655994631084442,0.9715020700188914,0.9397760308258648,0.8860444911401613,98.08412698412698,93.97111111111111,90.77851851851851
0.2,126000,135000,135000,0.9735529136620542,0.9337508239947264,0.8888956998804671,0.9809323698059854,0.9417064679228118,0.8990452178226006,0.9662836583101208,0.9259284743605182,0.8789727840300648,97.84603174603174,94.34222222222223,91.94444444444444
0.3,189000,135000,135000,0.9671652403565352,0.9415257008139595,0.8963525250580211,0.9751638672675134,0.9418822840813235,0.8992232298995486,0.9592967608684702,0.9411693874391481,0.8935000909219486,97.26349206349207,94.96592592592593,92.42444444444445
0.4,252000,135000,135000,0.9700371250028824,0.9424970968990581,0.8955311384932628,0.9770529269131077,0.9425862840232614,0.8960474148393883,0.9631213597567676,0.9424079266509555,0.8950154567312549,97.4218253968254,95.04814814814814,92.34444444444443
0.5,315000,135000,135000,0.9677669410830815,0.9431130768502664,0.8960751181309509,0.9733496259202064,0.943543388429752,0.8974826705581904,0.9622479304543736,0.9426831575869128,0.8946719738144788,97.25428571428571,95.10296296296296,92.39185185185185
0.6,378000,135000,135000,0.9673968029904186,0.9443788002932425,0.8965873627041705,0.9757586497684025,0.9470006227080883,0.8992662452488872,0.9591770536116534,0.9417714551115546,0.8939243933485543,97.15264550264551,95.22296296296297,92.44
0.7,441000,135000,135000,0.9626336947508738,0.9460273617884425,0.8988496227691872,0.970574695613984,0.9493953778455355,0.898622723050204,0.9548215819473725,0.9426831575869128,0.899076637100196,96.77097505668935,95.36814814814815,92.58148148148149
0.8,504000,135000,135000,0.9639225170590668,0.9464521189033587,0.9005212376621936,0.9711986368820509,0.9484057069817252,0.8987000442709382,0.9567546103899034,0.9445065625376292,0.9023498272482977,96.85079365079365,95.39777777777778,92.69111111111111
0.9,567000,135000,135000,0.9635492919746547,0.9469232760852679,0.9008400642937293,0.9720300992635287,0.9501706011742903,0.9014323865015781,0.9552151920641289,0.9436980716632549,0.9002485199927263,96.7594356261023,95.44444444444444,92.73407407407407
1.0,630000,135000,135000,0.9668038139103815,0.9471410177752045,0.9027569734018865,0.9755783059973786,0.951606181628755,0.904422948226562,0.9581857529556668,0.9427175614539074,0.9010971248459378,96.99809523809523,95.4688888888889,92.88296296296296
