feature,importance
alignment_angle_mean_50,0.46012118
alignment_angle_mean_20,0.10455745
alignment_angle_mean_10,0.08205327
head_speed_std_50,0.036161695
alignment_angle,0.031880233
tail_speed_mean_50,0.018830528
tail_speed_std_50,0.018209023
tail_speed,0.017747987
head_speed_mean_50,0.01736312
head_mid_distance,0.016935613
head_tail_distance,0.015153884
cross_sign,0.015118264
speed_ratio,0.012886138
cumulative_tail_distance,0.01101713
cumulative_head_distance,0.0104527
head_speed_mean_20,0.009527202
position_in_trial,0.008967486
tail_speed_mean_5,0.008670821
tail_mid_distance,0.008544511
head_speed_std_20,0.0076751653
head_speed,0.007361255
tail_speed_mean_20,0.006333437
body_orientation_angle,0.0063237958
head_path_curvature,0.0058378824
head_speed_mean_5,0.0054605
alignment_angle_std_50,0.0050339317
tail_speed_std_20,0.0042742686
alignment_angle_std_20,0.0040319944
head_speed_mean_10,0.0039465274
tail_speed_mean_10,0.0037386827
tail_angular_velocity,0.0034504046
tail_velocity_y,0.0034407752
relative_velocity_magnitude,0.003426642
head_velocity_y,0.0030766889
head_angular_velocity,0.0027103592
tail_velocity_x,0.0023492535
head_velocity_x,0.002228966
head_motion_angle,0.0021922137
tail_motion_angle,0.002016267
head_speed_std_10,0.0019799953
head_speed_std_5,0.001965354
tail_speed_std_10,0.0018940982
alignment_angle_std_10,0.0015484459
tail_speed_std_5,0.0013099276
alignment_angle_mean_5,0.0011406039
alignment_angle_std_5,0.0010543744
