feature,importance
alignment_angle_mean_50,0.32943356
alignment_angle_mean_10,0.23865929
alignment_angle_mean_20,0.10056298
head_speed_std_50,0.055717167
alignment_angle,0.046433877
tail_speed,0.019571925
tail_speed_mean_50,0.01815494
head_speed_mean_50,0.014870538
tail_speed_std_50,0.013574775
head_mid_distance,0.011079441
speed_ratio,0.010943009
body_orientation_angle,0.010834847
alignment_angle_std_50,0.010436673
head_speed_mean_20,0.010415516
cumulative_head_distance,0.009659034
cumulative_tail_distance,0.008771054
head_tail_distance,0.008672923
position_in_trial,0.008212667
tail_mid_distance,0.00794202
tail_speed_std_20,0.0075451424
alignment_angle_std_20,0.0073956125
head_speed,0.0064101564
cross_sign,0.005592858
head_motion_angle,0.0051683425
tail_speed_mean_20,0.0047614304
relative_velocity_magnitude,0.0038677212
head_speed_mean_10,0.0037519424
tail_acceleration,0.0034860137
tail_speed_mean_10,0.003409634
head_angular_velocity,0.003271355
tail_motion_angle,0.0032579768
head_speed_std_20,0.0027687666
head_tail_curvature_ratio,0.0019083206
tail_angular_velocity,0.0012118137
relative_acceleration,0.0011868238
head_acceleration,0.0010599619
