feature,importance
alignment_angle_mean_50,0.36761388
alignment_angle_mean_10,0.25136116
alignment_angle_mean_20,0.101958886
head_speed_mean_50,0.0430658
head_speed_std_50,0.039286267
alignment_angle,0.030700084
head_speed_mean_20,0.02012257
tail_speed_mean_50,0.011369264
speed_ratio,0.010688395
tail_speed,0.009576704
alignment_angle_std_50,0.0072637196
tail_speed_std_50,0.007255741
head_speed_mean_10,0.007218224
relative_velocity_magnitude,0.0065143383
head_tail_distance,0.0063713
tail_acceleration,0.0058979723
head_motion_angle,0.005693201
position_in_trial,0.005693163
head_speed,0.005532805
tail_motion_angle,0.005327574
cumulative_tail_distance,0.005282757
cumulative_head_distance,0.0049999496
head_mid_distance,0.004913835
tail_mid_distance,0.0046177995
alignment_angle_std_20,0.004610146
body_orientation_angle,0.0045894296
tail_speed_mean_10,0.0038651966
tail_speed_mean_20,0.0035831877
tail_speed_std_20,0.0035779942
head_angular_velocity,0.0034125696
cross_sign,0.0033877033
head_speed_std_20,0.0023892913
head_acceleration,0.001570847
tail_angular_velocity,0.00031611155
relative_acceleration,0.00024105326
head_tail_curvature_ratio,0.0001311371
