feature,importance
alignment_angle_mean_50,0.37729067
alignment_angle_mean_10,0.1251445
alignment_angle_mean_20,0.08666048
head_speed_mean_20,0.07804066
tail_speed_mean_20,0.05566554
alignment_angle,0.038103435
head_speed_mean_50,0.026241492
speed_ratio,0.025795257
head_speed_std_50,0.023305673
tail_speed_mean_50,0.016332645
tail_speed_std_50,0.014982451
tail_speed_std_20,0.010078202
tail_speed,0.009918439
alignment_angle_std_50,0.009046569
head_tail_distance,0.008615514
head_speed_mean_10,0.008394835
tail_mid_distance,0.008299215
head_speed_std_20,0.0074276533
alignment_angle_std_20,0.007062694
body_orientation_angle,0.0070474795
cumulative_head_distance,0.006749959
cumulative_tail_distance,0.006437442
head_motion_angle,0.0059707495
position_in_trial,0.005800669
tail_speed_mean_10,0.0050349156
head_mid_distance,0.003965503
head_tail_curvature_ratio,0.003911997
cross_sign,0.0029183505
relative_velocity_magnitude,0.002766131
head_speed,0.0023963307
tail_acceleration,0.0023944327
tail_angular_velocity,0.0021801607
tail_motion_angle,0.002172055
head_acceleration,0.0018385705
head_angular_velocity,0.0014725126
relative_acceleration,0.0005369294
