feature,importance
alignment_angle_mean_50,0.5003696
alignment_angle_mean_20,0.12557119
alignment_angle_mean_10,0.052416142
alignment_angle,0.036121275
head_speed_std_50,0.021226859
head_velocity_x,0.018042907
tail_speed_std_50,0.015079085
tail_speed,0.014953181
tail_speed_mean_50,0.014148032
head_speed_mean_50,0.013417486
head_speed,0.012248679
tail_mid_distance,0.0121150045
head_mid_distance,0.011923007
head_tail_distance,0.010797698
speed_ratio,0.01066439
tail_speed_mean_20,0.009282701
body_orientation_angle,0.008799306
cumulative_head_distance,0.0083621405
position_in_trial,0.008276065
tail_speed_mean_5,0.008088394
head_speed_mean_10,0.0076218266
cumulative_tail_distance,0.0076057673
head_speed_mean_20,0.007567034
head_motion_angle,0.0072218524
head_velocity_y,0.005633252
tail_speed_std_20,0.005328503
cross_sign,0.004840217
head_speed_mean_5,0.004638358
alignment_angle_std_50,0.0046167444
alignment_angle_std_20,0.003458095
relative_velocity_magnitude,0.0030296233
tail_speed_mean_10,0.0029417458
tail_motion_angle,0.0029230085
alignment_angle_std_10,0.002857941
tail_velocity_x,0.0027419273
head_speed_std_20,0.0025881736
head_angular_velocity,0.0021238485
tail_velocity_y,0.0017523735
alignment_angle_mean_5,0.0014844992
head_speed_std_10,0.0014830668
head_speed_std_5,0.0014679158
head_path_curvature,0.0009133131
tail_speed_std_5,0.00088471605
tail_angular_velocity,0.0008442567
tail_speed_std_10,0.0008352942
alignment_angle_std_5,0.0006934058
