threshold,precision,recall,f1,sensitivity,specificity,pct_swaps_resolved,pct_frames_clean_pre,pct_frames_clean_post,tp,fp,fn,tn,n_frames,n_swapped_gt,n_swapped_pred
0.01,0.7869930519162173,0.9994632659195328,0.8805932035070131,0.9994632659195328,0.7948617759109115,99.94632659195328,56.87222222222223,88.31018518518519,46553,12600,25,48822,108000,46578,59153
0.0198989898989899,0.8092977147031201,0.9990338786551591,0.8942119220569584,0.9990338786551591,0.821480902608186,99.90338786551591,56.87222222222223,89.80555555555556,46533,10965,45,50457,108000,46578,57498
0.029797979797979796,0.8229268033758559,0.998561552664348,0.9022764968912772,0.998561552664348,0.8370616391520953,99.8561552664348,56.87222222222223,90.6712962962963,46511,10008,67,51414,108000,46578,56519
0.039696969696969696,0.8331720256658423,0.9980248185838808,0.9081780174266401,0.9980248185838808,0.8484582071570447,99.80248185838808,56.87222222222223,91.2962962962963,46486,9308,92,52114,108000,46578,55794
0.049595959595959596,0.8411770031688547,0.9973377989608828,0.9126253646749114,0.9973377989608828,0.8572010028979844,99.73377989608828,56.87222222222223,91.76388888888889,46454,8771,124,52651,108000,46578,55225
0.059494949494949496,0.8476910711676165,0.9963072695263858,0.9160103432620753,0.9963072695263858,0.8642505942496174,99.63072695263858,56.87222222222223,92.12037037037038,46406,8338,172,53084,108000,46578,54744
0.06939393939393938,0.8529850334124924,0.9947829447378591,0.9184431956709185,0.9947829447378591,0.8699814398749633,99.47829447378591,56.87222222222223,92.38055555555556,46335,7986,243,53436,108000,46578,54321
0.07929292929292929,0.8579110344699709,0.9933444974022071,0.9206737705081137,0.9933444974022071,0.8752401419686757,99.3344497402207,56.87222222222223,92.61759259259259,46268,7663,310,53759,108000,46578,53931
0.08919191919191918,0.8629830128803435,0.9925286615998969,0.9232336142509087,0.9925286615998969,0.8804988440623881,99.2528661599897,56.87222222222223,92.88148148148147,46230,7340,348,54082,108000,46578,53570
0.09909090909090908,0.8675119752042829,0.9914981321654,0.9253704427279011,0.9914981321654,0.8851714369444174,99.14981321654,56.87222222222223,93.10277777777777,46182,7053,396,54369,108000,46578,53235
0.10898989898989898,0.871723147290631,0.9902099703722788,0.9271965181380482,0.9902099703722788,0.8895021327862981,99.02099703722787,56.87222222222223,93.29351851851851,46122,6787,456,54635,108000,46578,52909
0.11888888888888888,0.8757414448669202,0.9889647473055949,0.9289156869467019,0.9889647473055949,0.8935886164566442,98.89647473055949,56.87222222222223,93.47222222222223,46064,6536,514,54886,108000,46578,52600
0.12878787878787878,0.8794029394339009,0.9878698097814419,0.9304860415971528,0.9878698097814419,0.8972680798410992,98.78698097814419,56.87222222222223,93.63425925925925,46013,6310,565,55112,108000,46578,52323
0.1386868686868687,0.8829993660064168,0.9867534028940702,0.9319976883066846,0.9867534028940702,0.9008498583569405,98.67534028940702,56.87222222222223,93.78981481481482,45961,6090,617,55332,108000,46578,52051
0.1485858585858586,0.8867971936063704,0.9850573231997939,0.9333482510654312,0.9850573231997939,0.9046432874214451,98.50573231997939,56.87222222222223,93.9324074074074,45882,5857,696,55565,108000,46578,51739
0.15848484848484848,0.890134442026733,0.9836618145905792,0.9345639979602244,0.9836618145905792,0.9079320113314447,98.36618145905793,56.87222222222223,94.05925925925926,45817,5655,761,55767,108000,46578,51472
0.16838383838383839,0.8934848839934381,0.9822233672549272,0.9357550469411549,0.9822233672549272,0.9112044544300087,98.22233672549272,56.87222222222223,94.18333333333334,45750,5454,828,55968,108000,46578,51204
0.1782828282828283,0.8964292721208554,0.9809566748250247,0.9367900930823799,0.9809566748250247,0.9140535964312462,98.09566748250246,56.87222222222223,94.29074074074074,45691,5279,887,56143,108000,46578,50970
0.18818181818181817,0.8995031349816633,0.9794538193997167,0.9377775037000493,0.9794538193997167,0.917016704112533,97.94538193997167,56.87222222222223,94.39444444444445,45621,5097,957,56325,108000,46578,50718
0.19808080808080808,0.9022936143241959,0.9780368414272833,0.9386396884593987,0.9780368414272833,0.9196867571879782,97.80368414272833,56.87222222222223,94.48518518518519,45555,4933,1023,56489,108000,46578,50488
0.207979797979798,0.9051617781669121,0.9765983940916313,0.9395241242564442,0.9765983940916313,0.9224056526977304,97.65983940916313,56.87222222222223,94.57777777777778,45488,4766,1090,56656,108000,46578,50254
0.21787878787878787,0.90822,0.9749452531237923,0.9404005052910601,0.9749452531237923,0.9252873563218391,97.49452531237924,56.87222222222223,94.67037037037038,45411,4589,1167,56833,108000,46578,50000
0.22777777777777777,0.9109455633421015,0.9739791317789515,0.9414083980950207,0.9739791317789515,0.9277946012829279,97.39791317789515,56.87222222222223,94.7712962962963,45366,4435,1212,56987,108000,46578,49801
0.23767676767676768,0.9135421706176423,0.9729700717076731,0.9423200881625184,0.9729700717076731,0.9301715997525317,97.29700717076732,56.87222222222223,94.86296296296295,45319,4289,1259,57133,108000,46578,49608
0.24757575757575756,0.9163242586782714,0.9719395422731761,0.9433128783222029,0.9719395422731761,0.9326951255250562,97.19395422731762,56.87222222222223,94.96203703703704,45271,4134,1307,57288,108000,46578,49405
0.25747474747474747,0.9186202413358794,0.9708446047490231,0.9440106884889984,0.9708446047490231,0.9347790693888184,97.08446047490231,56.87222222222223,95.03333333333333,45220,4006,1358,57416,108000,46578,49226
0.2673737373737374,0.9210563882940757,0.9696423204087766,0.9447250896844571,0.9696423204087766,0.93697697893263,96.96423204087766,56.87222222222223,95.10648148148148,45164,3871,1414,57551,108000,46578,49035
0.2772727272727273,0.923784359510057,0.9682897505259994,0.9455136268343816,0.9682897505259994,0.9394191006479763,96.82897505259994,56.87222222222223,95.18703703703704,45101,3721,1477,57701,108000,46578,48822
0.2871717171717172,0.9261513157894737,0.9671518742754089,0.9462076498141108,0.9671518742754089,0.9415193253231741,96.7151874275409,56.87222222222223,95.25740740740741,45048,3592,1530,57830,108000,46578,48640
0.29707070707070704,0.928969416814561,0.966464854652411,0.9473462687823562,0.966464854652411,0.9439614470385204,96.6464854652411,56.87222222222223,95.36666666666666,45016,3442,1562,57980,108000,46578,48458
0.30696969696969695,0.931106601507496,0.9653699171282579,0.9479287445978708,0.9653699171282579,0.9458337403536192,96.5369917128258,56.87222222222223,95.42592592592592,44965,3327,1613,58095,108000,46578,48292
0.31686868686868686,0.9333236369680851,0.9643823264201984,0.9485988216163707,0.9643823264201984,0.947754876103025,96.43823264201984,56.87222222222223,95.4925925925926,44919,3209,1659,58213,108000,46578,48128
