feature,importance
alignment_angle_mean_50,0.38861862
alignment_angle_mean_20,0.06418931
head_speed_mean_20,0.056172583
tail_speed_mean_20,0.05601585
head_speed_std_50,0.050768986
tail_speed_std_50,0.04990401
head_speed_std_20,0.040098794
head_speed_mean_50,0.03876315
alignment_angle_mean_10,0.02238732
alignment_angle,0.022296736
speed_ratio,0.01967812
head_tail_distance,0.018954584
tail_speed_mean_50,0.013618609
head_speed_mean_10,0.011807514
alignment_angle_std_50,0.010385887
cumulative_tail_distance,0.009508552
tail_mid_distance,0.008961502
cumulative_head_distance,0.008502412
head_mid_distance,0.007658558
body_orientation_angle,0.007022288
alignment_angle_std_20,0.0064427094
position_in_trial,0.0064064623
tail_speed,0.0062645418
alignment_angle_mean_5,0.0058025145
tail_velocity_x,0.0048355754
tail_speed_mean_10,0.0047455593
cross_sign,0.004311624
relative_velocity_magnitude,0.004265275
tail_speed_mean_5,0.004217628
head_speed_mean_5,0.0042091836
tail_speed_std_20,0.0040789177
head_path_curvature,0.0037770167
head_speed_std_5,0.0033444613
head_speed,0.0030064126
alignment_angle_std_5,0.002993998
head_velocity_y,0.0029756408
head_angular_velocity,0.0027881763
head_speed_std_10,0.002720748
tail_angular_velocity,0.0027180274
head_motion_angle,0.0024121017
tail_speed_std_5,0.0023129713
head_velocity_x,0.0022691675
tail_speed_std_10,0.0021984575
tail_motion_angle,0.0021964696
alignment_angle_std_10,0.0017896843
tail_velocity_y,0.0016032343
