feature,importance
alignment_angle_mean_50,0.32987222
alignment_angle_mean_10,0.29633996
alignment_angle_mean_20,0.094520226
alignment_angle,0.040198468
tail_speed,0.023896191
tail_speed_mean_50,0.021850891
head_speed_std_50,0.021598345
tail_speed_std_50,0.017589124
head_tail_distance,0.01399342
head_speed_mean_50,0.012902421
speed_ratio,0.01144248
cumulative_tail_distance,0.008698641
body_orientation_angle,0.008487873
head_speed,0.008479921
tail_mid_distance,0.007822658
alignment_angle_std_50,0.007822363
tail_speed_std_20,0.0077041183
cumulative_head_distance,0.0072645224
position_in_trial,0.0069573154
head_speed_mean_20,0.0067074
head_motion_angle,0.005455307
head_mid_distance,0.005379827
cross_sign,0.004708688
alignment_angle_std_20,0.0045500267
head_speed_mean_10,0.0038147166
tail_speed_mean_10,0.0032161225
head_speed_std_20,0.0031587356
tail_speed_mean_20,0.002941899
tail_acceleration,0.0027017985
tail_motion_angle,0.0025561268
relative_velocity_magnitude,0.0016576999
tail_angular_velocity,0.0015378663
head_angular_velocity,0.0011374601
relative_acceleration,0.0010771595
head_acceleration,0.0009994741
head_tail_curvature_ratio,0.00095858966
