train_size_fraction,train_size,val_size,test_size,train_f1,val_f1,test_f1,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_pct_clean_post,val_pct_clean_post,test_pct_clean_post
0.1,50400,108000,108000,0.9916342279587517,0.8855258147333768,0.9204094380301839,0.9961240310077519,0.907932189727701,0.9525189757277505,0.98718471684003,0.8641987148748441,0.8903941366808311,99.02777777777779,91.3712962962963,92.68518518518518
0.2,100800,108000,108000,0.9781522971924309,0.8884587226544566,0.9394538197051733,0.9826493693405561,0.9207582109513645,0.9525545982768984,0.9736961990215303,0.8583485182698762,0.9267085103894585,97.82142857142857,91.67685185185185,94.32592592592593
0.3,151200,108000,108000,0.9707869220845875,0.894151417294582,0.9460724057258416,0.9765030905970503,0.923788827815416,0.9625610198894582,0.9651372857280763,0.8663565742783159,0.9301391758605903,97.21428571428572,92.0787037037037,94.96296296296296
0.4,201600,108000,108000,0.9553725012553821,0.8888255274836983,0.9436157014540222,0.9684826167009639,0.9201961086298065,0.9612561421956201,0.9426125822229718,0.8595233528339887,0.9266110483022104,95.8561507936508,91.6962962962963,94.73981481481482
0.5,252000,108000,108000,0.9596261342855784,0.897376875638548,0.9436625349860056,0.9680674761007606,0.9220864637879133,0.9684845500430875,0.95133073329619,0.8739570346216553,0.9200810884565904,96.29404761904762,92.28055555555555,94.78148148148148
0.6,302400,108000,108000,0.9677010202605726,0.9071973401134363,0.9455664089810432,0.9710177287545215,0.9253865336658355,0.9696026218762802,0.9644068924223272,0.8897094082669992,0.9226930723948384,97.12003968253968,92.97037037037038,94.95370370370371
0.7,352800,108000,108000,0.9554594238014893,0.9017608783560234,0.9467901616135432,0.9643533930857875,0.9222035639990978,0.9690401844935611,0.9467280086482138,0.8822048527860362,0.9255389653424818,96.01927437641723,92.57685185185184,95.05833333333334
0.8,403200,108000,108000,0.9602949224440009,0.9003198945080706,0.9459330429074416,0.9655025157267138,0.9172762103796587,0.9657392363931763,0.9551432037783266,0.883979092740002,0.9269229269814042,96.38318452380953,92.44074074074075,94.96666666666667
0.9,453600,108000,108000,0.9530622919523994,0.8996631346848778,0.9441510641702673,0.9636049033704579,0.9197285045207504,0.9695575366665298,0.9427478731926906,0.8804545890476647,0.9200421036216911,95.70701058201058,92.41574074074073,94.82962962962964
1.0,504000,108000,108000,0.9543839159452563,0.9051382914843817,0.9434279874150818,0.9638578608712491,0.9257049755608472,0.970680412371134,0.9450944006904736,0.885465618106838,0.9176640286928385,95.84623015873017,92.8324074074074,94.77222222222223
