trial,total_frames,swapped_frames,error_rate,num_segments,is_perfect,mean_segment_length,median_segment_length,min_segment_length,max_segment_length
2024.10.31_08-04-28_Biarmipes84_metben,9000,3808,42.31111111111111,8,False,476.0,207.5,1,2515
2024.11.14_02-01-34_Biarmipes_G224_e2hex,9000,2748,30.533333333333335,71,False,38.70422535211268,3.0,1,1003
2024.10.30_04-42-21_Riverside_metben,9000,4171,46.34444444444444,65,False,64.16923076923077,2.0,1,1538
2024.09.30_10-47-09_Stocago_no_odor,9000,2150,23.88888888888889,34,False,63.23529411764706,6.5,1,683
2024.10.17_14-37-33_Riverside_prenac,9000,4139,45.98888888888889,47,False,88.06382978723404,2.0,1,2042
2024.10.25_06-22-34_CantonS_metben,9000,1410,15.666666666666668,13,False,108.46153846153847,2.0,1,702
2024.12.18_16-13-27_CantonS_metben,9000,5029,55.87777777777778,9,False,558.7777777777778,5.0,1,3307
2024.11.01_08-49-17_sto_car_e2hex,9000,3496,38.84444444444444,11,False,317.8181818181818,22.0,1,1633
2024.10.03_15-55-02_Yakuba7_2hex,9000,5580,62.0,37,False,150.8108108108108,3.0,1,4846
2024.10.01_09-36-42_Yakuba_cameroon_no_odor,9000,237,2.6333333333333333,5,False,47.4,26.0,3,132
2024.11.04_07-03-37_Biarmipes84_e2hex,9000,2246,24.955555555555556,83,False,27.06024096385542,3.0,1,1637
2024.10.15_12-46-05_sechellia_prenac,9000,2920,32.44444444444444,224,False,13.035714285714286,2.0,1,1631
2024.11.25_19-34-49_Biarmipes84_no_odor,9000,8492,94.35555555555555,258,False,32.91472868217054,3.0,1,2345
2024.11.04_09-43-40_Sechellia28_e2hex,9000,1722,19.133333333333333,1,False,1722.0,1722.0,1722,1722
2024.10.25_08-18-11_Sussex_metben,9000,3233,35.922222222222224,43,False,75.18604651162791,3.0,1,2711
2024.10.18_12-53-39_Sto_car_prenac,9000,4154,46.15555555555556,9,False,461.55555555555554,33.0,1,1837
2024.10.10_14-06-17_Biarmipes84_1hexanol,9000,5869,65.21111111111111,2,False,2934.5,2934.5,872,4997
2024.11.01_04-43-54_CantonS_metben,9000,3321,36.9,7,False,474.42857142857144,40.0,1,3084
2024.10.15_13-07-17_Sechellia_prenac,9000,1788,19.866666666666667,20,False,89.4,10.0,1,1274
2024.07.08_12-21-10_Riverside (no odor),9000,131,1.4555555555555555,1,False,131.0,131.0,131,131
2024.10.14_14-26-24_Biarmipes84_1hexanol,9000,2055,22.833333333333332,9,False,228.33333333333334,161.0,1,578
2024.12.19_15-14-08_Sto_car_no_odor,9000,0,0.0,0,True,0.0,0.0,0,0
2024.10.07_14-22-45_Yakuba7_2hexanol,9000,4327,48.07777777777778,9,False,480.77777777777777,4.0,1,1264
2024.10.31_02-01-01_Yakuba_cameroon_metben,9000,2054,22.822222222222223,7,False,293.42857142857144,1.0,1,1957
2024.10.14_14-36-32_Biarmipes84_1hexanol,9000,819,9.1,6,False,136.5,11.5,1,645
2024.10.25_04-15-05_Yakuba7_2hexanol,9000,972,10.8,9,False,108.0,1.0,1,936
2024.11.04_09-55-32_Sechellia28_e2hex,9000,2822,31.355555555555554,8,False,352.75,11.0,1,1796
2024.10.25_06-03-07_Yakuba7_prenac,9000,2370,26.333333333333332,99,False,23.939393939393938,2.0,1,1182
2024.07.05_11-33-31_CantonS (no odor),9000,1687,18.744444444444444,1,False,1687.0,1687.0,1687,1687
2024.10.31_07-39-16_Biarmipes84_metben,9000,1304,14.48888888888889,13,False,100.3076923076923,8.0,1,998
2024.07.10_12-04-21_Riverside (MetBut),9000,1,0.011111111111111112,1,False,1.0,1.0,1,1
2024.11.04_06-23-57_Stocago_e2hex,9000,3946,43.84444444444445,167,False,23.62874251497006,1.0,1,2892
2024.10.15_12-51-51_sechellia_prenac,9000,1599,17.766666666666666,6,False,266.5,16.0,1,1347
2024.10.15_09-04-44_Biarmipes_G224_1hexanol,9000,1912,21.244444444444444,6,False,318.6666666666667,5.0,1,1647
2024.10.11_11-57-56_Sto_car_2hexanol,9000,3858,42.86666666666667,15,False,257.2,7.0,1,3115
2024.09.30_14-44-36_Yakuba_cameroon_no_odor,9000,2530,28.111111111111107,37,False,68.37837837837837,7.0,1,1237
2024.10.28_08-58-33_sto_car_metben,9000,2415,26.833333333333332,2,False,1207.5,1207.5,1,2414
2024.10.10_08-48-27_Sto_car_no_odor,9000,4510,50.11111111111111,6,False,751.6666666666666,8.5,1,4474
2024.10.18_12-59-49_Sto_car_prenac,9000,1952,21.688888888888886,1,False,1952.0,1952.0,1952,1952
2024.10.10_13-53-25_Biarmipes84_1hexanol,9000,6041,67.12222222222223,12,False,503.4166666666667,210.0,3,1731
2025.04.08_11-25-49_Sussex_metbut,9000,3408,37.86666666666667,21,False,162.28571428571428,11.0,1,2334
2024.10.23_07-43-37_Biarmipes84_prenac,9000,902,10.022222222222222,13,False,69.38461538461539,2.0,1,868
2024.10.30_09-33-52_Sussex_metben,9000,3124,34.71111111111111,27,False,115.70370370370371,6.0,1,2540
2024.11.04_05-46-53_Stocago_e2hex,9000,1163,12.92222222222222,3,False,387.6666666666667,9.0,2,1152
2024.10.03_12-30-01_Yakuba_cameroon_2hex,9000,844,9.377777777777778,7,False,120.57142857142857,87.0,1,462
2024.11.04_07-09-20_Biarmipes84_e2hex,9000,4932,54.800000000000004,132,False,37.36363636363637,3.0,1,2827
2024.10.23_12-16-59_Yakuba_Cameroon_prenac,9000,3036,33.733333333333334,40,False,75.9,4.0,1,2396
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,9000,1376,15.288888888888888,9,False,152.88888888888889,9.0,1,1232
2024.11.14_01-36-12_Biarmipes_G224_e2hex,9000,1946,21.622222222222224,26,False,74.84615384615384,22.0,1,518
2024.10.14_13-20-19_Biarmipes84_1hexanol,9000,4200,46.666666666666664,13,False,323.0769230769231,77.0,14,2121
2024.10.14_09-10-11_Riverside_prenac,9000,2888,32.08888888888889,19,False,152.0,5.0,1,1240
2024.10.02_10-32-31_Biarmipes_G224_no_odor,9000,6338,70.42222222222222,56,False,113.17857142857143,2.0,1,2228
2024.10.28_07-38-34_stocago_metben,9000,5704,63.37777777777778,20,False,285.2,48.0,1,2941
2024.10.14_14-07-18_Biarmipes84_1hexanol,9000,1092,12.133333333333333,28,False,39.0,4.0,1,666
2024.10.11_15-30-33_Stocago_2hexanol,9000,519,5.766666666666667,15,False,34.6,10.0,1,332
2024.09.30_10-40-26_Stocago_no_odor,9000,3227,35.855555555555554,3,False,1075.6666666666667,1308.0,27,1892
2024.11.13_02-31-36_Sechellia28_e2hex,9000,2845,31.61111111111111,227,False,12.533039647577093,2.0,1,1100
2024.07.10_17-44-43_CantonS (E-2-Hex),9000,69,0.7666666666666666,2,False,34.5,34.5,22,47
2024.10.31_08-49-21_sto_car_prenac,9000,1237,13.744444444444445,3,False,412.3333333333333,416.0,399,422
2024.07.08_12-32-46_Riverside (no odor),9000,230,2.555555555555556,2,False,115.0,115.0,66,164
2024.12.01_18-23-04_Biarmipes84_no_odor,9000,3277,36.41111111111111,72,False,45.513888888888886,4.0,1,2074
2024.10.30_09-00-14_Stocago_metben,9000,565,6.277777777777778,14,False,40.357142857142854,15.0,1,351
2024.10.07_14-55-38_Yakuba7_2hexanol,9000,116,1.288888888888889,6,False,19.333333333333332,18.0,1,43
2024.10.28_07-51-31_stocago_metben,9000,2151,23.9,3,False,717.0,103.0,24,2024
2024.10.28_07-44-19_stocago_metben,9000,7217,80.18888888888888,5,False,1443.4,1.0,1,5129
2024.12.12_18-35-59_Riverside_no_odor,9000,4325,48.05555555555556,3,False,1441.6666666666667,2.0,1,4322
2024.10.29_04-49-33_Biarmipes84_metben,9000,3353,37.25555555555555,24,False,139.70833333333334,2.5,1,2915
2024.11.13_01-23-08_Sussex_e2hex,9000,3655,40.61111111111111,4,False,913.75,293.0,1,3068
2024.10.14_11-39-58_CantonS_prenac,9000,2108,23.42222222222222,4,False,527.0,4.5,2,2097
2024.10.02_10-13-56_Biarmipes_G224_no_odor,9000,1885,20.944444444444443,18,False,104.72222222222223,3.0,1,819
2024.10.03_15-34-26_Yakuba7_2hex,9000,1964,21.822222222222223,6,False,327.3333333333333,7.0,1,1612
2024.10.08_13-50-45_Stocago_2hexanol,9000,2995,33.27777777777778,2,False,1497.5,1497.5,5,2990
2024.10.15_09-43-24_sto_car_2hexanol,9000,2675,29.72222222222222,28,False,95.53571428571429,5.0,1,1335
2024.10.02_10-38-57_Biarmipes_G224_no_odor,9000,464,5.155555555555556,7,False,66.28571428571429,9.0,1,240
2025.04.08_10-48-50_Sussex_metbut,9000,3636,40.400000000000006,51,False,71.29411764705883,2.0,1,1616
2024.09.24_16-13-18_Yakuba7_no_odor,9000,8170,90.77777777777779,312,False,26.185897435897434,3.0,1,4581
2024.11.13_00-48-15_Sussex_e2hex,9000,3287,36.522222222222226,1,False,3287.0,3287.0,3287,3287
2024.11.12_07-08-45_Biarmipes_G224_e2hex,9000,1607,17.855555555555554,13,False,123.61538461538461,61.0,2,563
2024.10.04_15-12-48_Biarmipes84_no_odor,9000,2510,27.88888888888889,1,False,2510.0,2510.0,2510,2510
2024.07.03_12-43-45_CantonS (no odor),9000,394,4.377777777777777,1,False,394.0,394.0,394,394
