feature,importance
alignment_angle_mean_50,0.5204583
alignment_angle_mean_20,0.16430642
head_speed_std_50,0.036477204
alignment_angle,0.029907351
head_speed_mean_50,0.025165517
tail_speed,0.015229455
tail_speed_mean_5,0.013627937
tail_speed_mean_50,0.012376807
speed_ratio,0.010954611
cumulative_head_distance,0.010866181
alignment_angle_mean_5,0.010816657
head_speed,0.010500587
tail_speed_std_50,0.010469223
head_tail_distance,0.009882939
tail_speed_std_20,0.009627146
cumulative_tail_distance,0.008908098
position_in_trial,0.008408539
head_speed_mean_20,0.007915475
tail_mid_distance,0.00752733
alignment_angle_std_50,0.0074370345
tail_speed_mean_20,0.007117526
head_motion_angle,0.0066843503
cross_sign,0.0064881537
body_orientation_angle,0.006365951
head_speed_mean_5,0.0063486514
head_mid_distance,0.005773282
relative_velocity_magnitude,0.004701546
tail_speed_mean_10,0.0045129876
alignment_angle_std_20,0.0040128767
head_speed_std_20,0.003951457
head_speed_mean_10,0.0033271604
alignment_angle_mean_10,0.0027723315
tail_motion_angle,0.00273266
head_angular_velocity,0.0024176585
head_tail_curvature_ratio,0.0005318161
head_path_curvature,0.0005131553
tail_angular_velocity,0.0004449066
tail_path_curvature,0.0004408313
collapsed_keypoints,0.0
