feature,importance
alignment_angle_mean_50,0.39361024
head_speed_mean_20,0.09489691
alignment_angle_mean_20,0.08859128
tail_speed_std_50,0.050530475
tail_speed_mean_20,0.0433987
head_speed_std_50,0.042911515
head_speed_mean_50,0.03168626
alignment_angle,0.029057236
tail_speed_mean_50,0.024559619
speed_ratio,0.022781638
head_tail_distance,0.012712801
position_in_trial,0.011764713
tail_speed_mean_5,0.0112847015
cumulative_head_distance,0.010811032
body_orientation_angle,0.010719023
head_mid_distance,0.009768556
cumulative_tail_distance,0.00921453
tail_mid_distance,0.008368585
tail_speed_mean_10,0.007157081
tail_speed,0.006863398
alignment_angle_std_50,0.0067077116
alignment_angle_std_20,0.0065159616
head_speed_mean_10,0.006230445
head_speed_std_20,0.006187708
head_motion_angle,0.0057443166
head_speed_mean_5,0.005471303
relative_velocity_magnitude,0.005449699
cross_sign,0.00537897
alignment_angle_mean_10,0.0045202305
head_speed,0.0043421225
tail_speed_std_20,0.0040481198
alignment_angle_mean_5,0.0036348072
head_tail_curvature_ratio,0.003353905
tail_motion_angle,0.0033030869
head_angular_velocity,0.002861433
tail_angular_velocity,0.002401754
head_path_curvature,0.0016166483
tail_path_curvature,0.0015434938
collapsed_keypoints,0.0
