feature,importance
alignment_angle_mean_50,0.46826816
alignment_angle_mean_20,0.11731039
alignment_angle_mean_10,0.051182184
tail_speed,0.034870915
alignment_angle,0.034819428
tail_speed_std_50,0.024033275
head_speed_mean_50,0.020932589
tail_speed_mean_50,0.019338667
head_speed_std_50,0.018647369
speed_ratio,0.017636567
tail_mid_distance,0.011757754
head_tail_distance,0.011137157
tail_speed_mean_5,0.011045786
cumulative_tail_distance,0.010875526
body_orientation_angle,0.010185755
head_speed,0.009953568
position_in_trial,0.009650496
head_mid_distance,0.009634453
cumulative_head_distance,0.008532414
head_speed_mean_20,0.00841478
head_motion_angle,0.0072579402
tail_velocity_x,0.0068062968
cross_sign,0.006316439
alignment_angle_std_50,0.0060548903
tail_motion_angle,0.0051513715
tail_speed_std_20,0.0048931274
alignment_angle_mean_5,0.0047756643
alignment_angle_std_20,0.0043974547
tail_speed_mean_20,0.0040102345
tail_velocity_y,0.003971516
head_velocity_y,0.0038287654
head_speed_mean_10,0.0037487184
head_velocity_x,0.0036294842
head_speed_std_20,0.0034213986
alignment_angle_std_10,0.0031767641
head_path_curvature,0.002909072
tail_speed_mean_10,0.0027697354
relative_velocity_magnitude,0.0025852425
head_speed_mean_5,0.0020024967
tail_speed_std_10,0.001970252
tail_angular_velocity,0.0017410184
head_angular_velocity,0.0017099141
tail_speed_std_5,0.001208735
head_speed_std_5,0.0011643115
head_speed_std_10,0.0011487085
alignment_angle_std_5,0.0011232375
