iteration,sample_size,train_f1,train_precision,train_recall,train_sensitivity,train_specificity,train_auc,val_f1,val_precision,val_recall,val_sensitivity,val_specificity,val_auc,test_f1,test_precision,test_recall,test_sensitivity,test_specificity,test_auc,n_train_samples,n_val_samples,n_test_samples,eval_mean_f1,eval_mean_precision,eval_mean_recall,eval_mean_sensitivity,eval_mean_specificity,eval_mean_pct_swaps_resolved,eval_mean_pct_frames_clean_pre,eval_mean_pct_frames_clean_post
1,80,0.9840758086360921,0.9825926600491759,0.9855634413905863,0.9855634413905863,0.9865879414261758,0.9992483807367708,0.971725236312491,0.9708617482951023,0.9725902616760517,0.9725902616760517,0.976380326990083,0.9961903805284857,0.9436903986416497,0.9482980641284285,0.9391272928223767,0.9391272928223767,0.9604764482945317,0.9924242780801982,504000,108000,108000,0.9697140616959773,0.9697520529211774,0.9701757613200365,0.9701757613200365,0.981414015828895,97.01757613200364,58.27777777777778,97.83703703703704
2,80,0.9543839159452563,0.9638578608712491,0.9450944006904736,0.9450944006904736,0.969839316867138,0.9944395193442799,0.9051382914843817,0.9257049755608472,0.885465618106838,0.885465618106838,0.9552887226211307,0.9828576888750434,0.9434279874150818,0.970680412371134,0.9176640286928385,0.9176640286928385,0.974919750255741,0.9886536688067876,504000,108000,108000,0.8973365116283637,0.9431855536111975,0.8761338629194517,0.8761338629194517,0.9495163127145655,87.61338629194518,51.117592592592594,91.79722222222222
3,80,0.9793527842528448,0.9775221115026487,0.9811903267214482,0.9811903267214482,0.983424311468752,0.9988982732082285,0.9678421901754872,0.9651768793430195,0.9705222621434385,0.9705222621434385,0.969387223851587,0.9972421378414068,0.9747994683045331,0.9775326346754918,0.9720815431026603,0.9720815431026603,0.9770753212644218,0.9975565916572995,504000,108000,108000,0.9751598680432846,0.9758705671103436,0.9745100020148173,0.9745100020148173,0.9866573250471774,97.45100020148173,56.24444444444444,98.43425925925926
4,80,0.9814327965823201,0.9810879989779763,0.9817778366260461,0.9817778366260461,0.9854551706955902,0.9990510545082926,0.9556424459650266,0.9670491514991647,0.9445016960796943,0.9445016960796943,0.9755950636579727,0.9948146450974864,0.8936549928613421,0.8911850921273032,0.8961386221997641,0.8961386221997641,0.9141048525717308,0.9666614734626199,504000,108000,108000,0.9241738480830878,0.9213276201194335,0.927460689106362,0.927460689106362,0.9426018886708291,92.7460689106362,56.974999999999994,93.76851851851852
5,80,0.9591352314616323,0.95549404662483,0.9628042740221395,0.9628042740221395,0.9684981388027536,0.9962942628692624,0.9582312722315705,0.9686712744654739,0.9480139079127594,0.9480139079127594,0.9759682880502106,0.9948093978205327,0.8918476481501691,0.8952673093777388,0.8884540117416829,0.8884540117416829,0.9229156587647154,0.9699104741118181,504000,108000,108000,0.9253174774454056,0.9403311801478895,0.9116037208902615,0.9116037208902615,0.9609223273698535,91.16037208902615,60.61574074074074,94.23333333333333
6,80,0.9630920914324048,0.9651781571646356,0.9610150235936888,0.9610150235936888,0.9748001658289563,0.9968837707911574,0.9179090234333581,0.9537281861448969,0.8846829906389241,0.8846829906389241,0.9644513660832177,0.9837226321732764,0.9594178321115392,0.9710598357450136,0.9480516725706892,0.9480516725706892,0.9781126246775227,0.9954211371643636,504000,108000,108000,0.9431920200026068,0.9661124149825415,0.9285564941871224,0.9285564941871224,0.975713025005693,92.85564941871223,56.58240740740741,95.27314814814814
