feature,importance
alignment_angle_mean_50,0.3723059
alignment_angle_mean_10,0.22450836
alignment_angle_mean_20,0.114644304
alignment_angle,0.047406558
tail_speed,0.026792966
head_speed_std_50,0.0258289
tail_speed_std_50,0.018223697
tail_speed_mean_50,0.017179584
head_speed_mean_50,0.016159054
head_speed,0.014546113
tail_mid_distance,0.010802073
head_speed_mean_20,0.010349749
alignment_angle_std_50,0.008493621
speed_ratio,0.007959507
cumulative_tail_distance,0.007457818
head_tail_distance,0.0070814034
cumulative_head_distance,0.0069308784
tail_speed_mean_10,0.006746053
tail_speed_std_20,0.006718768
body_orientation_angle,0.006030424
position_in_trial,0.0051760534
head_mid_distance,0.0050628833
head_motion_angle,0.0050178613
cross_sign,0.00422638
head_speed_mean_10,0.0036382563
alignment_angle_std_20,0.0035521786
tail_speed_mean_20,0.0035419383
tail_motion_angle,0.0026877047
relative_velocity_magnitude,0.0024466862
tail_acceleration,0.0020800065
head_angular_velocity,0.0020006623
head_speed_std_20,0.0018083798
head_acceleration,0.00090996636
tail_angular_velocity,0.0007996211
relative_acceleration,0.0005241742
head_tail_curvature_ratio,0.00036147842
