feature,importance
alignment_angle_mean_50,0.39891222
head_speed_mean_20,0.06583035
alignment_angle_mean_20,0.06270535
tail_speed_std_50,0.04805705
head_speed_std_50,0.04656669
head_speed_mean_50,0.03082675
tail_speed_mean_20,0.03052534
alignment_angle,0.029395048
head_speed_std_20,0.02895603
speed_ratio,0.024561461
tail_speed_mean_50,0.024137111
alignment_angle_mean_10,0.020862762
head_tail_distance,0.011493762
head_speed_mean_10,0.011272075
cumulative_head_distance,0.010496888
body_orientation_angle,0.010166374
position_in_trial,0.0101039605
cumulative_tail_distance,0.009668868
tail_speed_mean_10,0.009235931
tail_speed,0.009061667
head_mid_distance,0.008845308
alignment_angle_std_20,0.008388925
tail_mid_distance,0.0068396428
alignment_angle_std_50,0.006526778
tail_speed_mean_5,0.0062217936
alignment_angle_mean_5,0.0056186
head_velocity_y,0.005455889
head_motion_angle,0.005417911
cross_sign,0.005033326
relative_velocity_magnitude,0.004769922
tail_speed_std_20,0.0043986626
head_velocity_x,0.003915517
tail_speed_std_10,0.0031049114
head_speed_mean_5,0.0030584235
tail_motion_angle,0.0030527746
tail_velocity_x,0.0028473502
head_angular_velocity,0.0027224575
head_speed_std_5,0.00272089
head_speed_std_10,0.0026188402
tail_velocity_y,0.0025223491
tail_angular_velocity,0.0024742987
alignment_angle_std_5,0.002398604
head_speed,0.0023796991
alignment_angle_std_10,0.0021759314
tail_speed_std_5,0.0019984494
head_path_curvature,0.0016571021
