feature,importance
alignment_angle_mean_50,0.5281249
alignment_angle_mean_20,0.14776567
alignment_angle,0.034634996
head_speed_std_50,0.026630078
head_speed,0.017957626
tail_speed_std_50,0.015182789
tail_speed_mean_50,0.014414292
tail_mid_distance,0.0142602185
speed_ratio,0.013336373
head_speed_mean_50,0.012703622
tail_speed_mean_20,0.012479194
head_tail_distance,0.011439159
head_mid_distance,0.011208801
tail_speed,0.010698155
cumulative_head_distance,0.01002865
head_motion_angle,0.00993934
tail_speed_mean_5,0.009235137
head_speed_mean_20,0.009223576
body_orientation_angle,0.008949196
alignment_angle_mean_5,0.008679878
position_in_trial,0.008573322
cumulative_tail_distance,0.008455643
tail_speed_std_20,0.0072688838
head_speed_mean_5,0.0063303956
alignment_angle_std_50,0.0060570957
head_speed_mean_10,0.005609965
cross_sign,0.004984821
relative_velocity_magnitude,0.0039574485
head_speed_std_20,0.0038848126
tail_motion_angle,0.003331154
alignment_angle_mean_10,0.003146193
alignment_angle_std_20,0.0023233166
tail_speed_mean_10,0.0022680166
head_path_curvature,0.0020521448
head_tail_curvature_ratio,0.0013040078
head_angular_velocity,0.0012074842
tail_angular_velocity,0.0012019875
tail_path_curvature,0.0011515868
collapsed_keypoints,0.0
