feature,importance
alignment_angle_mean_50,0.3796243
alignment_angle_mean_10,0.11233597
alignment_angle_mean_20,0.08880449
head_speed_mean_20,0.07450728
head_speed_std_50,0.042825565
tail_speed_mean_20,0.042771146
alignment_angle,0.03799654
tail_speed_std_50,0.02777464
speed_ratio,0.024103377
tail_speed_std_20,0.0193968
head_speed_mean_50,0.016640058
tail_speed_mean_50,0.0129080955
head_tail_distance,0.0116894245
tail_speed,0.009748172
head_speed_std_20,0.008921089
head_speed_mean_10,0.0085687
tail_speed_mean_10,0.007546018
head_mid_distance,0.007380698
cross_sign,0.0066403085
alignment_angle_std_50,0.0064678374
cumulative_tail_distance,0.0059591667
alignment_angle_std_20,0.005656226
tail_mid_distance,0.005626139
position_in_trial,0.0050381417
cumulative_head_distance,0.0047351886
body_orientation_angle,0.0036272448
relative_velocity_magnitude,0.0035227966
head_tail_curvature_ratio,0.0031801462
head_motion_angle,0.0030808677
tail_acceleration,0.0027704395
head_acceleration,0.0022431083
head_speed,0.0020233653
head_angular_velocity,0.0016957957
relative_acceleration,0.0015783791
tail_angular_velocity,0.0013251621
tail_motion_angle,0.0012872284
