feature,importance
alignment_angle_mean_50,0.3749887
alignment_angle_mean_10,0.13302647
alignment_angle_mean_20,0.08012098
head_speed_mean_20,0.07016856
alignment_angle,0.04718237
speed_ratio,0.035040736
head_speed_std_50,0.034159232
head_speed_mean_50,0.030176995
tail_speed_mean_20,0.029599518
tail_speed_std_50,0.02815883
tail_speed_mean_50,0.01412801
alignment_angle_std_50,0.012612
head_tail_distance,0.009853435
tail_speed,0.008752632
head_speed_mean_10,0.008341382
tail_mid_distance,0.0076555437
tail_speed_mean_10,0.006959765
tail_speed_std_20,0.0065996405
head_mid_distance,0.0060515995
cumulative_head_distance,0.0060065677
position_in_trial,0.005923754
alignment_angle_std_20,0.0056809685
cumulative_tail_distance,0.005239907
body_orientation_angle,0.0037484542
head_speed_std_20,0.003702914
relative_velocity_magnitude,0.0036630158
head_tail_curvature_ratio,0.0033738762
head_motion_angle,0.0031765022
head_speed,0.0029891268
tail_acceleration,0.0029066938
head_angular_velocity,0.0021587317
head_acceleration,0.0020553633
cross_sign,0.001876356
relative_acceleration,0.0014811076
tail_angular_velocity,0.0014771391
tail_motion_angle,0.00096317456
