feature,importance
alignment_angle_mean_50,0.35067853
head_speed_std_20,0.08652603
head_speed_mean_20,0.07460171
alignment_angle_mean_20,0.06272893
head_speed_std_50,0.050794166
tail_speed_mean_20,0.040777847
tail_speed_std_50,0.040651105
alignment_angle,0.027504316
speed_ratio,0.020209964
head_speed_mean_50,0.019394718
alignment_angle_mean_10,0.017991142
head_tail_distance,0.015894474
tail_speed_mean_50,0.014004601
tail_speed,0.012580209
head_mid_distance,0.011240968
position_in_trial,0.00973231
cumulative_tail_distance,0.009672788
cumulative_head_distance,0.009400611
tail_mid_distance,0.0092932135
body_orientation_angle,0.008820407
alignment_angle_std_50,0.007688336
alignment_angle_std_20,0.007632771
tail_speed_mean_10,0.007552523
cross_sign,0.007440103
tail_speed_mean_5,0.0073486343
head_speed_mean_10,0.0069889976
alignment_angle_mean_5,0.005945895
relative_velocity_magnitude,0.0056794807
tail_speed_std_20,0.004910857
head_motion_angle,0.0041132253
head_speed_mean_5,0.0038090718
head_angular_velocity,0.0032439702
head_speed,0.003081784
alignment_angle_std_10,0.002935859
tail_motion_angle,0.0029100578
head_velocity_x,0.0028515155
head_speed_std_5,0.0028275829
tail_velocity_x,0.0027575532
alignment_angle_std_5,0.0026711281
head_velocity_y,0.0025226355
tail_speed_std_5,0.0024813304
tail_speed_std_10,0.0024134563
tail_angular_velocity,0.0023298291
head_speed_std_10,0.0020996162
head_path_curvature,0.001872489
tail_velocity_y,0.0013933021
