feature,importance
alignment_angle_mean_50,0.49161485
alignment_angle_mean_20,0.14177549
alignment_angle,0.037283484
tail_speed_std_50,0.026329476
head_speed,0.023929162
head_speed_std_50,0.022782987
tail_speed_mean_50,0.021703983
head_speed_mean_50,0.017084649
tail_speed,0.016222065
speed_ratio,0.014707092
tail_speed_mean_5,0.013576328
tail_mid_distance,0.013460439
head_tail_distance,0.011745345
cumulative_tail_distance,0.010945222
alignment_angle_mean_5,0.010820015
body_orientation_angle,0.010660906
position_in_trial,0.009931556
tail_speed_mean_20,0.008708004
tail_speed_mean_10,0.008442831
cumulative_head_distance,0.008439273
head_mid_distance,0.008089438
tail_speed_std_20,0.007995836
tail_motion_angle,0.007700497
cross_sign,0.0070126243
alignment_angle_std_50,0.006776943
head_motion_angle,0.0066782758
head_speed_mean_20,0.0058269985
alignment_angle_std_20,0.004104919
relative_velocity_magnitude,0.0039937077
head_speed_std_20,0.0039715366
head_tail_curvature_ratio,0.0038035407
head_speed_mean_10,0.0037154679
alignment_angle_mean_10,0.0025827275
head_speed_mean_5,0.0024974302
head_angular_velocity,0.0019542114
tail_angular_velocity,0.0016842198
head_path_curvature,0.0009985429
tail_path_curvature,0.00044993314
collapsed_keypoints,0.0
