feature,importance
alignment_angle_mean_50,0.53461653
alignment_angle_mean_20,0.12784868
alignment_angle_mean_10,0.041307464
alignment_angle,0.028007943
head_speed_std_50,0.026840694
tail_speed,0.020209776
tail_speed_mean_50,0.017989451
tail_speed_std_50,0.017329786
head_speed_mean_50,0.013490826
head_tail_distance,0.012118075
head_speed_mean_20,0.011924426
tail_mid_distance,0.011472268
speed_ratio,0.010753005
head_speed,0.008640096
head_mid_distance,0.00837383
cumulative_tail_distance,0.0075969645
cumulative_head_distance,0.007539413
position_in_trial,0.0074380646
body_orientation_angle,0.0068957163
tail_speed_mean_10,0.0062381267
tail_speed_std_5,0.006153258
alignment_angle_std_50,0.005945627
tail_speed_std_20,0.005748537
head_velocity_y,0.004400679
tail_speed_mean_5,0.0042560156
alignment_angle_std_20,0.0040501356
cross_sign,0.00377628
alignment_angle_mean_5,0.0036513451
tail_speed_mean_20,0.0031819635
head_velocity_x,0.003127075
head_motion_angle,0.0029694005
relative_velocity_magnitude,0.0029249662
tail_motion_angle,0.0029111356
head_angular_velocity,0.002841496
head_speed_mean_10,0.002603743
head_speed_std_5,0.002204008
head_speed_std_20,0.0020688537
tail_speed_std_10,0.001815855
head_path_curvature,0.001716425
head_speed_mean_5,0.0016222963
alignment_angle_std_10,0.0014471371
tail_velocity_x,0.0010666286
tail_velocity_y,0.0010147329
head_speed_std_10,0.00074370997
alignment_angle_std_5,0.00068834925
tail_angular_velocity,0.00043931147
