feature,importance
alignment_angle_mean_50,0.44911394
alignment_angle_mean_20,0.13802771
head_speed_std_50,0.054568633
alignment_angle,0.050578587
head_speed,0.02409237
head_speed_mean_50,0.022410339
tail_speed_mean_50,0.01952254
tail_speed_std_50,0.017217776
tail_speed,0.016268631
tail_speed_mean_20,0.013471499
head_tail_distance,0.012817915
alignment_angle_mean_5,0.012406681
body_orientation_angle,0.0123553
speed_ratio,0.012185523
cumulative_head_distance,0.01122166
position_in_trial,0.011009855
cumulative_tail_distance,0.010476179
alignment_angle_std_50,0.010153466
tail_mid_distance,0.010130181
head_motion_angle,0.009328065
head_mid_distance,0.009165427
tail_speed_std_20,0.009075362
tail_speed_mean_5,0.008890517
head_speed_mean_20,0.007979348
cross_sign,0.0064901975
head_speed_mean_5,0.005896042
alignment_angle_std_20,0.0052318303
head_speed_mean_10,0.004777661
tail_motion_angle,0.0042752763
head_path_curvature,0.0038796442
relative_velocity_magnitude,0.0034416784
head_speed_std_20,0.0028975578
tail_speed_mean_10,0.0027932515
head_angular_velocity,0.0026528942
alignment_angle_mean_10,0.0025935709
tail_path_curvature,0.001104468
tail_angular_velocity,0.00094126485
head_tail_curvature_ratio,0.0005571959
collapsed_keypoints,0.0
