feature,importance
alignment_angle_mean_50,0.46455005
alignment_angle_mean_20,0.102868095
alignment_angle,0.060073536
head_speed_mean_20,0.054792114
tail_speed_std_50,0.038965266
head_speed_mean_50,0.034233246
head_speed_std_50,0.032767095
speed_ratio,0.03234821
tail_speed_mean_20,0.028285272
tail_speed_mean_50,0.012524743
head_tail_distance,0.011501828
head_speed_mean_10,0.010338047
tail_speed_mean_10,0.009720768
tail_speed_std_20,0.0093384525
head_speed_mean_5,0.0073194723
tail_speed_mean_5,0.0064694923
tail_speed,0.0062725516
tail_mid_distance,0.0061555626
head_mid_distance,0.0060837953
cumulative_head_distance,0.0057753264
position_in_trial,0.0057321265
head_motion_angle,0.0054496503
head_tail_curvature_ratio,0.004813579
alignment_angle_mean_5,0.004604503
cumulative_tail_distance,0.0046013435
alignment_angle_mean_10,0.0045150104
head_speed_std_20,0.004420484
relative_velocity_magnitude,0.00440175
alignment_angle_std_50,0.0041473783
head_speed,0.0035681021
alignment_angle_std_20,0.0032720354
body_orientation_angle,0.0030762951
cross_sign,0.0017844763
head_angular_velocity,0.0016257066
tail_angular_velocity,0.0014543852
tail_motion_angle,0.0010102865
head_path_curvature,0.0007449009
tail_path_curvature,0.00039501506
collapsed_keypoints,0.0
