train_size_fraction,train_size,val_size,test_size,train_f1,val_f1,test_f1,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_pct_clean_post,val_pct_clean_post,test_pct_clean_post
0.1,50400,108000,108000,0.9986567691763875,0.9366944403968686,0.923682319900725,0.9978807572760667,0.9491543624161074,0.9321754605675114,0.9994339889627848,0.9245574122015637,0.9153425455486878,99.92460317460318,95.575,95.67222222222223
0.2,100800,108000,108000,0.9993196816109939,0.9543493132663263,0.9420712716781956,0.9989459009146859,0.9602869926663313,0.9545258262747052,0.9996937421308741,0.9484846107580869,0.9299375424743536,99.96031746031746,96.78703703703704,96.72777777777777
0.3,151200,108000,108000,0.9971082529734177,0.9609888390528841,0.9525712893005118,0.9958431012398192,0.958314913535301,0.9565657224905365,0.9983766233766234,0.9636777280928847,0.9486100773437753,99.84193121693121,97.22962962962963,97.29722222222222
0.4,201600,108000,108000,0.9987004601515312,0.9568250970517259,0.9533209550799701,0.9980886413016843,0.9597705685794722,0.9596353739712102,0.9993130295397298,0.9538976491200544,0.9470890909679298,99.92113095238095,96.95185185185186,97.3462962962963
0.5,252000,108000,108000,0.9952943770416659,0.9520955753589914,0.9542426594231018,0.9938354577056778,0.9446332046332047,0.9535334604323521,0.996757585970458,0.9596767866949086,0.9549529141451732,99.67817460317461,96.58055555555556,97.37962962962963
0.6,302400,108000,108000,0.9929549357219103,0.9543608186075393,0.9538818898907941,0.9911609376447698,0.9443434627889711,0.9509520133796475,0.99475543983634,0.9645929761251013,0.9568298760557911,99.49801587301587,96.73333333333333,97.35277777777777
0.7,352800,108000,108000,0.9895585860550056,0.949345519324607,0.9519963819614937,0.9869884557329218,0.9374378585086042,0.9503079552416884,0.9921421366267981,0.9615595826468973,0.9536908190673441,99.2998866213152,96.36666666666667,97.24814814814815
0.8,403200,108000,108000,0.9859944627472816,0.9513246914217838,0.9450415281057721,0.9819014979398514,0.9395577771543699,0.9383334396733235,0.9901216926697057,0.9633900787113308,0.9518462185689783,99.1016865079365,96.50925925925927,96.8324074074074
0.9,453600,108000,108000,0.9833871804076423,0.9524311537373685,0.9452937217575234,0.9760808171452703,0.9367744872410916,0.9362323440723694,0.9908037508372405,0.9686200674668549,0.9545322157858969,98.89814814814815,96.57407407407408,96.83888888888889
1.0,504000,108000,108000,0.9778138809065007,0.9561890530600677,0.9317166358799476,0.965882558777926,0.9422666802071697,0.909643011283063,0.9900436594807861,0.9705290133626213,0.9548881913206693,98.55853174603175,96.85092592592592,95.99537037037037
