feature,importance
alignment_angle_mean_50,0.46402404
alignment_angle_mean_20,0.106132954
head_speed_mean_20,0.058746707
tail_speed_mean_20,0.05765066
head_speed_std_50,0.046975534
tail_speed_std_50,0.03793433
alignment_angle,0.024404135
speed_ratio,0.022797143
head_speed_mean_50,0.020340791
head_tail_distance,0.015018153
tail_speed_mean_50,0.012658249
head_speed_mean_10,0.009156931
head_speed_std_20,0.0085886605
tail_speed_mean_10,0.008061888
tail_speed_mean_5,0.007837627
tail_mid_distance,0.006813742
head_mid_distance,0.006804769
cross_sign,0.006597226
head_speed_mean_5,0.006583509
cumulative_tail_distance,0.0065789795
alignment_angle_std_20,0.006559948
tail_speed_std_20,0.006304719
position_in_trial,0.005624602
tail_speed,0.005471206
cumulative_head_distance,0.005384056
relative_velocity_magnitude,0.004563222
body_orientation_angle,0.0043980977
alignment_angle_std_50,0.0039894055
alignment_angle_mean_5,0.0038368357
head_motion_angle,0.0036343373
head_tail_curvature_ratio,0.003110564
alignment_angle_mean_10,0.0024089275
head_speed,0.00237791
tail_path_curvature,0.0020028313
tail_motion_angle,0.0018052985
head_angular_velocity,0.0017999237
tail_angular_velocity,0.0016744
head_path_curvature,0.0013476537
collapsed_keypoints,0.0
