threshold,precision,recall,f1,sensitivity,specificity,pct_swaps_resolved,pct_frames_clean_pre,pct_frames_clean_post,tp,fp,fn,tn,n_frames,n_swapped_gt,n_swapped_pred
0.01,0.39023973820872165,1.0,0.5613991996970721,1.0,0.46809065183934867,100.0,74.6037037037037,60.3175925925926,27428,42857,0,37715,108000,27428,70285
0.0198989898989899,0.44193241697149394,0.9998906227213067,0.6129518913784433,0.9998906227213067,0.5701732611825449,99.98906227213067,74.6037037037037,67.93055555555556,27425,34632,3,45940,108000,27428,62057
0.029797979797979796,0.4932342462302516,0.999380195420738,0.6604901086720802,0.999380195420738,0.6504616988531996,99.9380195420738,74.6037037037037,73.9074074074074,27411,28163,17,52409,108000,27428,55574
0.039696969696969696,0.5404424097716913,0.9985416362840892,0.7013123359580052,0.9985416362840892,0.7109541776299458,99.85416362840893,74.6037037037037,78.39907407407406,27388,23289,40,57283,108000,27428,50677
0.049595959595959596,0.582,0.9973020271255651,0.7350459504487559,0.9973020271255651,0.7561683959688229,99.73020271255652,74.6037037037037,81.74074074074073,27354,19646,74,60926,108000,27428,47000
0.059494949494949496,0.616993434559935,0.9970468134752807,0.7622750902426447,0.9970468134752807,0.789306458819441,99.70468134752807,74.6037037037037,84.20648148148148,27347,16976,81,63596,108000,27428,44323
0.06939393939393938,0.6362366742702854,0.9965728452676097,0.7766444097172894,0.9965728452676097,0.80603683661818,99.65728452676098,74.6037037037037,85.44259259259259,27334,15628,94,64944,108000,27428,42962
0.07929292929292929,0.6637187492407493,0.9959894997812454,0.7965941067549244,0.9959894997812454,0.8282157573350544,99.59894997812454,74.6037037037037,87.0824074074074,27318,13841,110,66731,108000,27428,41159
0.08919191919191918,0.6760758678750062,0.9954790724806767,0.8052614504379627,0.9954790724806767,0.837635903291466,99.54790724806767,74.6037037037037,87.77222222222221,27304,13082,124,67490,108000,27428,40386
0.09909090909090908,0.6864594336300991,0.9951509406445967,0.8124720940616164,0.9951509406445967,0.8452688278806534,99.51509406445967,74.6037037037037,88.33333333333333,27295,12467,133,68105,108000,27428,39762
0.10898989898989898,0.6964203646019507,0.9944582178795391,0.8191728984593206,0.9944582178795391,0.8524301246090453,99.44582178795392,74.6037037037037,88.85,27276,11890,152,68682,108000,27428,39166
0.11888888888888888,0.7055473583391577,0.9937290360215838,0.825201713619643,0.9937290360215838,0.8588219232487713,99.37290360215837,74.6037037037037,89.30833333333334,27256,11375,172,69197,108000,27428,38631
0.12878787878787878,0.7130967336683417,0.9933644450926061,0.8302151258455726,0.9933644450926061,0.8639477734200467,99.33644450926062,74.6037037037037,89.68148148148148,27246,10962,182,69610,108000,27428,38208
0.1386868686868687,0.7206699476107319,0.9930363132565262,0.8352089785655147,0.9930363132565262,0.8689743335153651,99.30363132565262,74.6037037037037,90.04814814814814,27237,10557,191,70015,108000,27428,37794
0.1485858585858586,0.7274257319940158,0.992744640513344,0.8396238051187173,0.992744640513344,0.8733679193764583,99.2744640513344,74.6037037037037,90.36851851851851,27229,10203,199,70369,108000,27428,37432
0.15848484848484848,0.734074413835901,0.9919425404695931,0.8437456389263618,0.9919425404695931,0.8776746264210892,99.1942540469593,74.6037037037037,90.66944444444445,27207,9856,221,70716,108000,27428,37063
0.16838383838383839,0.7396057104010877,0.991650867726411,0.8472812796909802,0.991650867726411,0.881149779079581,99.1650867726411,74.6037037037037,90.92129629629629,27199,9576,229,70996,108000,27428,36775
0.1782828282828283,0.7446709408734725,0.9909216858684556,0.850326940524982,0.9909216858684556,0.8843394727696967,99.09216858684556,74.6037037037037,91.14074074074074,27179,9319,249,71253,108000,27428,36498
0.18818181818181817,0.7492967069336423,0.9905206358465801,0.853185943535471,0.9905206358465801,0.8871816511939632,99.05206358465801,74.6037037037037,91.3425925925926,27168,9090,260,71482,108000,27428,36258
0.19808080808080808,0.7533288948069241,0.9900831267318069,0.855630474510051,0.9900831267318069,0.8896390805738966,99.00831267318068,74.6037037037037,91.51481481481481,27156,8892,272,71680,108000,27428,36048
0.207979797979798,0.7570388146329213,0.9891351903164649,0.8576622144945862,0.9891351903164649,0.8919351635804001,98.91351903164649,74.6037037037037,91.66203703703704,27130,8707,298,71865,108000,27428,35837
0.21787878787878787,0.760299520430771,0.9884060084585096,0.8594753110882143,0.9884060084585096,0.8939209650995383,98.84060084585096,74.6037037037037,91.79166666666667,27110,8547,318,72025,108000,27428,35657
0.22777777777777777,0.7641054560834626,0.988004958436634,0.8617493202741163,0.988004958436634,0.8961674030680633,98.8004958436634,74.6037037037037,91.94907407407408,27099,8366,329,72206,108000,27428,35465
0.23767676767676768,0.7686783240604065,0.9872757765786787,0.864370531154239,0.9872757765786787,0.8988606463783945,98.72757765786787,74.6037037037037,92.13148148148149,27079,8149,349,72423,108000,27428,35228
0.24757575757575756,0.7719468370315441,0.9868018083710077,0.8662506000960154,0.9868018083710077,0.9007595690810704,98.68018083710078,74.6037037037037,92.26111111111112,27066,7996,362,72576,108000,27428,35062
0.25747474747474747,0.7748524608949751,0.9861090856059501,0.8678089004395675,0.9861090856059501,0.9024599116318324,98.610908560595,74.6037037037037,92.37037037037037,27047,7859,381,72713,108000,27428,34906
