iteration,sample_size,train_f1,train_precision,train_recall,train_sensitivity,train_specificity,train_auc,val_f1,val_precision,val_recall,val_sensitivity,val_specificity,val_auc,test_f1,test_precision,test_recall,test_sensitivity,test_specificity,test_auc,n_train_samples,n_val_samples,n_test_samples,eval_mean_f1,eval_mean_precision,eval_mean_recall,eval_mean_sensitivity,eval_mean_specificity,eval_mean_pct_swaps_resolved,eval_mean_pct_frames_clean_pre,eval_mean_pct_frames_clean_post
1,80,0.9817583338686833,0.9714256309668671,0.9923132103941721,0.9923132103941721,0.9862106843824314,0.9995357514771567,0.9602599479072647,0.9471676035916873,0.973719306503491,0.973719306503491,0.9702260640204131,0.9941124969816596,0.9549698234713525,0.9549543718853148,0.9549852755574253,0.9549852755574253,0.9819452911192104,0.9935361213423202,504000,108000,108000,0.954590199983786,0.9266651430729586,0.9872401890389843,0.9872401890389843,0.9603448298749989,98.72401890389841,71.13425925925925,97.50277777777778
2,80,0.9777706414138962,0.9623011789609855,0.9937455881348342,0.9937455881348342,0.9862217362922528,0.9995018156842633,0.9113975924186801,0.8571153290297716,0.9730202712556512,0.9730202712556512,0.9447823065084645,0.9935829059753751,0.9495076269550107,0.9422980191142303,0.9568284081235559,0.9568284081235559,0.9639829558196905,0.9935657152959045,504000,108000,108000,0.8235141128407407,0.7785627282083865,0.992164652518686,0.992164652518686,0.855122110883627,99.21646525186861,73.98888888888888,95.13333333333333
3,80,0.9883940912102706,0.9806351434962639,0.9962767982882943,0.9962767982882943,0.9903854958337148,0.9998115793879138,0.9781911651694624,0.9817292093295391,0.9746785308795184,0.9746785308795184,0.9902034879575627,0.9971391966365539,0.9683075426904265,0.9651328543733607,0.9715031854445273,0.9715031854445273,0.9832818437816114,0.9970908907633316,504000,108000,108000,0.9048894729496973,0.8980243156475004,0.9953729090533373,0.9953729090533373,0.9004007752405196,99.53729090533375,64.4037037037037,99.06666666666666
4,80,0.9919188727927124,0.9866654342668761,0.9972285539902594,0.9972285539902594,0.9936989348754055,0.9998991276514317,0.96603555917481,0.9554988757257442,0.9768072185816722,0.9768072185816722,0.9831838991541222,0.9979752553994361,0.8734315814393939,0.8476450315910397,0.9008362837260407,0.9008362837260407,0.9294885427189111,0.9617248109296989,504000,108000,108000,0.9462338898757165,0.9331861713342069,0.9774743282464966,0.9774743282464966,0.931206041839857,97.74743282464965,60.595370370370375,94.75925925925928
5,80,0.9861026877505437,0.9762825300587262,0.9961224093361026,0.9961224093361026,0.9912495880093151,0.9998515571696914,0.9597005415737496,0.9725977642358449,0.9471408921202594,0.9471408921202594,0.9917751801829083,0.997679706172293,0.909136008773075,0.8896014307613694,0.9295477601580436,0.9295477601580436,0.9387457117745457,0.9836803512733824,504000,108000,108000,0.8236206568844032,0.7998023172932398,0.9537727794430736,0.9537727794430736,0.8864579232185222,95.37727794430737,80.64074074074075,96.62037037037037
6,80,0.9665283750897946,0.94656947517836,0.9873470918354152,0.9873470918354152,0.975324333298982,0.9986640171413008,0.886503010307741,0.8946576373212942,0.8784956961838265,0.8784956961838265,0.9654026269291125,0.9784857214323105,0.9675828884055105,0.9571726656233699,0.9782220445155271,0.9782220445155271,0.9767042633184365,0.9966707628267886,504000,108000,108000,0.9261903109716036,0.9058463377752782,0.9676417425414704,0.9676417425414704,0.9798989373258423,96.76417425414702,70.65277777777779,96.19722222222221
