feature,importance
alignment_angle_mean_50,0.4526443
alignment_angle_mean_20,0.08055373
head_speed_mean_20,0.049178295
alignment_angle,0.04656629
speed_ratio,0.036893774
tail_speed_std_50,0.035977613
head_speed_mean_50,0.035510745
tail_speed_mean_20,0.032516927
head_speed_std_50,0.031259548
alignment_angle_mean_10,0.023254704
head_speed_mean_10,0.019253168
head_tail_distance,0.011783117
tail_speed_mean_50,0.01092801
tail_speed,0.01025949
tail_speed_mean_10,0.008052217
tail_speed_std_20,0.0077131377
head_mid_distance,0.0066591813
alignment_angle_std_20,0.006623994
position_in_trial,0.006261543
head_speed_std_20,0.006176954
tail_mid_distance,0.005995359
cumulative_tail_distance,0.0059887697
alignment_angle_mean_5,0.0059555504
cumulative_head_distance,0.005864077
head_velocity_y,0.0050303834
relative_velocity_magnitude,0.004376526
head_speed_mean_5,0.003887014
body_orientation_angle,0.0038632336
alignment_angle_std_50,0.003541376
head_speed,0.003421451
tail_speed_mean_5,0.003320251
head_motion_angle,0.0031445613
alignment_angle_std_10,0.0030685475
alignment_angle_std_5,0.0027866063
head_speed_std_5,0.002656363
head_path_curvature,0.0026527618
tail_speed_std_10,0.0021517992
head_speed_std_10,0.00209978
tail_angular_velocity,0.0020608779
head_angular_velocity,0.0018563883
cross_sign,0.0016004619
tail_speed_std_5,0.0015798033
tail_motion_angle,0.0013626612
head_velocity_x,0.0013201066
tail_velocity_x,0.0013171954
tail_velocity_y,0.0010314077
