train_size_fraction,train_size,val_size,test_size,train_f1,val_f1,test_f1,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_pct_clean_post,val_pct_clean_post,test_pct_clean_post
0.1,63000,135000,135000,0.9972155637878017,0.9187588321957967,0.9128003583348986,0.9954560835307198,0.8887499272875342,0.8884232435169038,0.9989812748617445,0.950865073437889,0.9385529638983806,99.81746031746032,95.99703703703703,95.52962962962962
0.2,126000,135000,135000,0.9943987995305095,0.932898401775474,0.9228636357139794,0.9916143178855044,0.8947172937916059,0.8891000220312845,0.9971989630203523,0.9744834453572317,0.9592928242460258,99.70079365079366,96.66296296296296,96.00222222222222
0.3,189000,135000,135000,0.9888470991286215,0.9374022142420766,0.9289601833285591,0.9843567549533854,0.8993566833452467,0.8967233513065118,0.9933785982829246,0.9788088125466766,0.9636012479572129,99.36613756613757,96.88814814814815,96.32592592592593
0.4,252000,135000,135000,0.9883875965527772,0.9383439414668967,0.9300645382374779,0.9824236680783013,0.8986270935399339,0.8952200324345125,0.9944243768641616,0.9817338810057257,0.9677313920665577,99.3813492063492,96.92888888888889,96.37185185185186
0.5,315000,135000,135000,0.986654582004311,0.9396393574656584,0.9302824148182026,0.9773253070291548,0.9022944057746842,0.8962355079448131,0.9961636828644501,0.9802091112770724,0.9670182736591888,99.27079365079365,97.00222222222223,96.38666666666667
0.6,378000,135000,135000,0.9801316257559587,0.9381581295734428,0.9315863172634526,0.9681460397779184,0.8985470085470085,0.8972778068316314,0.9924176932497659,0.9814227035100822,0.9686227900757688,98.81798941798941,96.92,96.45333333333333
0.7,441000,135000,135000,0.9804440999281282,0.9388950851364414,0.9334208498615907,0.9699941179536435,0.8991426699706628,0.8979053998407774,0.9911216944097867,0.9823251182474484,0.9718615361759025,98.82154195011339,96.9562962962963,96.5437037037037
0.8,504000,135000,135000,0.9783779996730511,0.941447808942787,0.9360318343245903,0.9668337069761308,0.9020787590179361,0.9000493718799715,0.9902013087431879,0.9844100074682599,0.9750111424751151,98.71408730158731,97.08518518518518,96.67777777777778
0.9,567000,135000,135000,0.9758908904378263,0.9414704526185836,0.9357105191899326,0.9630639858973749,0.901780880467303,0.8991016652059597,0.989064086410843,0.9848145382125965,0.975427128212747,98.59082892416225,97.08518518518518,96.65851851851852
1.0,630000,135000,135000,0.9773278823421847,0.9426825460546857,0.938272309580206,0.9625503625071395,0.9026223626889895,0.9025722678233179,0.992566219543255,0.9864637789395071,0.9769127915614322,98.62238095238095,97.14444444444445,96.79555555555555
