trial,total_frames,swapped_frames,error_rate,num_segments,is_perfect,mean_segment_length,median_segment_length,min_segment_length,max_segment_length
2024.11.14_20-55-03_Sto_car_e2hex,9000,3998,44.422222222222224,50,False,79.96,3.0,1,2966
2024.11.05_02-28-29_Yakuba7_e2hex,9000,4417,49.077777777777776,9,False,490.77777777777777,26.0,2,1473
2024.11.12_06-49-11_Biarmipes_G224_e2hex,9000,4912,54.57777777777778,32,False,153.5,29.5,1,2297
2024.11.04_05-11-38_Stocago_e2hex,9000,3987,44.3,40,False,99.675,15.0,1,1506
2024.11.25_17-16-46_Sussex_no_odor,9000,2240,24.88888888888889,13,False,172.30769230769232,2.0,1,2160
2024.12.12_19-13-14_Riverside_metben,9000,3405,37.833333333333336,194,False,17.551546391752577,2.0,1,1344
2024.12.12_19-06-43_Riverside_no_odor,9000,4676,51.955555555555556,85,False,55.01176470588236,4.0,1,1648
2024.10.28_06-33-08_Stocago_metben,9000,4751,52.788888888888884,20,False,237.55,12.5,1,2512
2024.11.12_07-08-45_Biarmipes_G224_e2hex,9000,4280,47.55555555555556,34,False,125.88235294117646,23.5,1,956
2024.10.15_10-05-50_Sto_car_2hexanol,9000,2849,31.655555555555555,26,False,109.57692307692308,15.5,1,755
2024.10.31_02-01-01_Yakuba_cameroon_metben,9000,3981,44.233333333333334,8,False,497.625,25.5,1,1621
2024.12.18_14-32-53_Riverside_no_odor,9000,3300,36.666666666666664,55,False,60.0,4.0,1,1452
2024.10.30_09-00-14_Stocago_metben,9000,6181,68.67777777777778,57,False,108.43859649122807,19.0,1,1686
2024.09.30_12-01-09_Sussex_no_odor,9000,2624,29.15555555555556,33,False,79.51515151515152,5.0,1,1594
2024.09.30_12-42-45_Sussex_no_odor,9000,4600,51.11111111111111,90,False,51.111111111111114,2.0,1,2917
2024.10.10_08-41-22_Sto_car_no_odor,9000,2074,23.044444444444444,45,False,46.08888888888889,4.0,1,939
2024.09.30_10-53-30_Stocago_no_odor,9000,4155,46.166666666666664,14,False,296.7857142857143,2.5,1,2608
2024.10.15_08-40-19_Biarmipes_G224_1hexanol,9000,4156,46.17777777777778,21,False,197.9047619047619,15.0,1,1491
2024.11.01_07-39-43_Yakuba7_e2hex,9000,3136,34.84444444444444,82,False,38.24390243902439,2.0,1,1287
2024.10.08_10-27-14_Biarmipes_G224_no_odor,9000,3986,44.28888888888889,23,False,173.30434782608697,18.0,1,1157
2024.10.04_14-48-37_Biarmipes84_no_odor,9000,3195,35.5,208,False,15.360576923076923,2.0,1,1555
2024.10.28_07-03-50_stocago_metben,9000,3556,39.51111111111111,19,False,187.1578947368421,61.0,1,764
2024.07.05_12-17-09_CantonS (no odor),9000,3517,39.077777777777776,25,False,140.68,2.0,1,1941
2024.10.03_10-52-43_CantonS_metbut,9000,4975,55.27777777777778,13,False,382.6923076923077,36.0,1,2029
2025.03.07_08-09-39_CantonS_metbut,9000,4487,49.855555555555554,14,False,320.5,159.5,1,875
2024.10.03_10-27-18_Sto_car_no_odor,9000,3889,43.21111111111111,63,False,61.73015873015873,2.0,1,2014
2024.09.25_16-11-57_Sto_cago_no_odor,9000,2988,33.2,8,False,373.5,2.0,1,2081
2024.09.30_11-54-59_Sussex_no_odor,9000,2786,30.955555555555552,19,False,146.6315789473684,3.0,1,1112
2024.10.29_05-10-03_Biarmipes84_metben,9000,4011,44.56666666666666,47,False,85.34042553191489,5.0,1,1336
2024.07.05_11-33-31_CantonS (no odor),9000,4582,50.911111111111104,13,False,352.46153846153845,1.0,1,1555
2024.10.08_12-18-13_Sto_car_no_odor,9000,2698,29.977777777777774,113,False,23.876106194690266,2.0,1,879
2024.10.30_09-47-02_Sussex_metben,9000,1851,20.566666666666666,7,False,264.42857142857144,14.0,1,1081
2024.10.29_03-42-09_Sechellia_metben,9000,2587,28.744444444444444,37,False,69.91891891891892,2.0,1,2454
2024.11.13_04-39-28_Biarmipes84_e2hex,9000,4164,46.266666666666666,216,False,19.27777777777778,4.0,1,945
