feature,importance
alignment_angle_mean_50,0.36611953
alignment_angle_mean_10,0.28299206
alignment_angle_mean_20,0.11304499
head_speed_std_50,0.029198738
alignment_angle,0.026203709
tail_speed_mean_50,0.019700738
tail_speed,0.016787592
tail_mid_distance,0.012612907
tail_speed_std_50,0.011799556
head_speed_mean_20,0.011367716
head_speed_mean_50,0.009909578
head_tail_distance,0.007940215
alignment_angle_std_50,0.00763508
speed_ratio,0.007429676
head_speed,0.0072531314
tail_speed_std_20,0.007062095
cumulative_tail_distance,0.0063408497
tail_speed_mean_20,0.005672603
head_mid_distance,0.0055419314
body_orientation_angle,0.0055409716
cumulative_head_distance,0.0052023334
position_in_trial,0.004964602
relative_velocity_magnitude,0.004158941
head_motion_angle,0.0038336355
alignment_angle_std_20,0.0036777349
cross_sign,0.0033697097
tail_acceleration,0.0029636393
tail_speed_mean_10,0.0028875635
head_speed_mean_10,0.0014782733
head_speed_std_20,0.0014598029
tail_motion_angle,0.0014379609
head_angular_velocity,0.0013507875
head_acceleration,0.0010881046
relative_acceleration,0.0010121346
tail_angular_velocity,0.0004864699
head_tail_curvature_ratio,0.00047472242
